mese_label,mese_iso,prezzo_m2,var_mensile_pct,var_trimestrale_pct,var_annuale_pct,prezzo_label,var_mensile_label,var_trimestrale_label,var_annuale_label
Febbraio 2013,2013-02-01,10.7692,1.80945,-0.310108,7.692,"10,8 €/m2","+ 1,8 %","- 0,3 %","+ 7,7 %"
Gennaio 2013,2013-01-01,10.5778,-2.0184,-2.35847,-0.833435,"10,6 €/m2","- 2,0 %","- 2,4 %","- 0,8 %"
Dicembre 2012,2012-12-01,10.7957,-0.0647986,2.81619,,"10,8 €/m2","- 0,1 %","+ 2,8 %",N/A
Novembre 2012,2012-11-01,10.8027,-0.282462,2.88286,,"10,8 €/m2","- 0,3 %","+ 2,9 %",N/A
Ottobre 2012,2012-10-01,10.8333,3.17429,1.11067,,"10,8 €/m2","+ 3,2 %","+ 1,1 %",N/A
Settembre 2012,2012-09-01,10.5,,-3.07662,,"10,5 €/m2",N/A,"- 3,1 %",N/A
Agosto 2012,2012-08-01,10.5,-2.00013,-3.07662,,"10,5 €/m2","- 2,0 %","- 3,1 %",N/A
Luglio 2012,2012-07-01,10.7143,-1.09846,-1.09846,,"10,7 €/m2","- 1,1 %","- 1,1 %",N/A
Giugno 2012,2012-06-01,10.8333,,,,"10,8 €/m2",N/A,N/A,N/A
Maggio 2012,2012-05-01,10.8333,,8.333,,"10,8 €/m2",N/A,"+ 8,3 %",N/A
Aprile 2012,2012-04-01,10.8333,,1.56187,,"10,8 €/m2",N/A,"+ 1,6 %",N/A
Marzo 2012,2012-03-01,,,,,N/A,N/A,N/A,N/A
Febbraio 2012,2012-02-01,10.0,-6.25029,,,"10,0 €/m2","- 6,3 %",N/A,N/A
Gennaio 2012,2012-01-01,10.6667,,,,"10,7 €/m2",N/A,N/A,N/A
